Timestamp,WhatsappID,PlayerName,Location,SubLocation,ActionType,Content,StatsSnapshot
"2026-08-16T13:50:59.048Z","test@s.whatsapp.net","Eoza","Eldoria","Place","TEST","Test memory action","{""hp"":100}"
"2026-08-17T15:42:55.820Z","test@s.whatsapp.net","Eoza","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","[🤖 MJ FALLBACK]

""ton action"" est accompli. Tu sens le poids de tes décisions peser sur l'air ambiant, même si le monde reste étrangement silencieux.

_Note: Les flux magiques (IA) sont actuellement instables. Ton action a été traitée en mode dégradé._","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-17T15:47:29.414Z","test@s.whatsapp.net","Eoza","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","[🤖 MJ FALLBACK]

Le destin semble incertain alors que tu tentes ""ton action"". L'énergie ambiante crépite mais ne se stabilise pas. Tu agis avec prudence.

_Note: Les flux magiques (IA) sont actuellement instables. Ton action a été traitée en mode dégradé._","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-17T21:16:11.238Z","test@s.whatsapp.net","Eoza","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","[🤖 MJ FALLBACK]

Alors que tu effectues ""ton action"", tu as l'impression d'être observé. Ton geste est précis, mais le flux magique est trop instable.

_Note: Les flux magiques (IA) sont actuellement instables. Ton action a été traitée en mode dégradé._","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-18T22:40:49.567Z","user_123@s.whatsapp.net","Eoza","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","[🤖 MJ FALLBACK]

Alors que tu effectues ""ton action"", tu as l'impression d'être observé. Ton geste est précis, mais le flux magique est trop instable.

_Note: Les flux magiques (IA) sont actuellement instables. Ton action a été traitée en mode dégradé._","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-27T04:26:01.978Z","test_dispatch_1787804761022","E.L.King","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","Ton action « Aucune (Influence: 0) » résonne à travers l'éther d'ATR. Le flux d'énergie spirituelle de ton essence s'embrase alors que l'environnement s'adapte à ta résolution.","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-27T08:10:53.911Z","test_check_ai_123","E.L.King","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","Ton action « Aucune (Influence: 0) » résonne à travers l'éther d'ATR. Le flux d'énergie spirituelle de ton essence s'embrase alors que l'environnement s'adapte à ta résolution.","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-27T08:16:08.323Z","test_actions_check_1787818567492","E.L.King","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","Ton action « Aucune (Influence: 0) » résonne à travers l'éther d'ATR. Le flux d'énergie spirituelle de ton essence s'embrase alors que l'environnement s'adapte à ta résolution.","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-27T08:16:09.428Z","test_actions_check_1787818567492","E.L.King","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","Ton action « Aucune (Influence: 0) » résonne à travers l'éther d'ATR. Le flux d'énergie spirituelle de ton essence s'embrase alors que l'environnement s'adapte à ta résolution.","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
"2026-08-27T08:17:14.114Z","test_actions_check_1787818633333","E.L.King","Empire Impérial d'Elion","Eldoria","MJ_NARRATIVE","Ton action « Aucune (Influence: 0) » résonne à travers l'éther d'ATR. Le flux d'énergie spirituelle de ton essence s'embrase alors que l'environnement s'adapte à ta résolution.","{""health"":100,""maxHealth"":100,""mana"":100,""col"":100}"
